                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.90392,                0.87166,                 1.2108,                0.75699,                0.73438,                 0.7902,                0.46756,                    nan,                    inf,                    nan,               0.070115,              0.0033206,              0.0033206
                      1,                0.83344,                0.54855,                 1.1384,                 0.6692,                0.79021,                0.76623,                0.40473,                    nan,                    inf,                    nan,               0.040027,              0.0065661,              0.0065661
                      2,                0.87371,                 0.6119,                  1.165,                0.68953,                0.72396,                 0.7132,                0.34398,                    nan,                    inf,                    nan,              0.0098513,              0.0097236,              0.0097236
                      3,                0.89529,                0.61964,                 1.1954,                0.66663,                0.47908,                 0.5354,                 0.3167,                    nan,                    inf,                    nan,               0.009604,               0.009604,               0.009604
                      4,                 0.8992,                0.59436,                 1.2186,                0.69332,                0.44743,                0.48321,                0.30543,                    nan,                    inf,                    nan,               0.009604,               0.009604,               0.009604
                      5,                0.87192,                0.56467,                 1.1933,                 0.5577,                0.57292,                0.56245,                0.31041,                    nan,                    inf,                    nan,               0.009472,               0.009472,               0.009472
                      6,                 0.8788,                0.56594,                 1.1947,                0.66292,                0.51215,                 0.5592,                0.33217,                    nan,                    inf,                    nan,                0.00934,                0.00934,                0.00934
                      7,                0.85792,                0.55253,                 1.1837,                0.76252,                0.73438,                0.78339,                0.46967,                    nan,                    inf,                    nan,               0.009208,               0.009208,               0.009208
                      8,                 0.8384,                0.53907,                 1.1601,                0.60833,                0.44271,                0.48218,                0.29024,                    nan,                    inf,                    nan,               0.009076,               0.009076,               0.009076
                      9,                0.82985,                0.52904,                 1.1706,                0.64498,                0.60417,                0.66281,                0.38872,                    nan,                    inf,                    nan,               0.008944,               0.008944,               0.008944
                     10,                0.81658,                0.51856,                 1.1677,                0.81988,                0.51042,                0.60042,                 0.3702,                    nan,                    inf,                    nan,               0.008812,               0.008812,               0.008812
                     11,                0.81826,                0.51743,                 1.1652,                0.75776,                0.57024,                0.67808,                0.38535,                    nan,                    inf,                    nan,                0.00868,                0.00868,                0.00868
                     12,                0.80465,                0.50155,                  1.159,                0.70447,                0.46354,                 0.5417,                0.33534,                    nan,                    inf,                    nan,               0.008548,               0.008548,               0.008548
                     13,                0.79261,                0.49992,                 1.1495,                0.81412,                0.41667,                 0.5064,                0.32936,                    nan,                    inf,                    nan,               0.008416,               0.008416,               0.008416
                     14,                0.78786,                0.49151,                 1.1459,                0.80939,                0.77083,                0.83058,                0.48455,                    nan,                    inf,                    nan,               0.008284,               0.008284,               0.008284
                     15,                0.78079,                0.48665,                 1.1387,                0.75818,                0.63688,                0.69676,                0.40938,                    nan,                    inf,                    nan,               0.008152,               0.008152,               0.008152
                     16,                  0.772,                0.47558,                 1.1427,                 0.7346,                0.69196,                  0.744,                0.42446,                    nan,                    inf,                    nan,                0.00802,                0.00802,                0.00802
                     17,                0.76983,                 0.4786,                 1.1294,                0.81258,                 0.6097,                 0.7194,                0.43758,                    nan,                    inf,                    nan,               0.007888,               0.007888,               0.007888
                     18,                0.76401,                0.46669,                 1.1309,                0.77102,                0.51042,                0.64149,                0.40926,                    nan,                    inf,                    nan,               0.007756,               0.007756,               0.007756
                     19,                0.74948,                0.45274,                 1.1254,                 0.7764,                0.63296,                0.74176,                0.46408,                    nan,                    inf,                    nan,               0.007624,               0.007624,               0.007624
                     20,                0.75082,                0.45442,                 1.1301,                0.82743,                0.41146,                0.48735,                0.33624,                    nan,                    inf,                    nan,               0.007492,               0.007492,               0.007492
